Device Type, Ticks, Data0, Data1
2, 9505, 21, 485
1, 9534, 107, 106
0, 9536, 612, 0
4, 9536, 0, 5
2, 9536, 7, 1899
1, 9564, 103, 109
0, 9567, 573, 0
4, 9567, 0, 4
2, 9567, 4, 0
1, 9595, 101, 106
0, 9597, 541, 0
4, 9597, 0, 2
2, 9598, 0, 1600
1, 9626, 101, 109
0, 9628, 518, 0
4, 9628, 0, 14
2, 9628, 1, 2288
1, 9657, 102, 106
0, 9659, 498, 0
4, 9659, 0, 4
2, 9659, 0, 2521
1, 9687, 105, 102
0, 9690, 463, 0
4, 9690, 0, 11
2, 9690, 0, 1405
1, 9718, 101, 103
0, 9720, 436, 0
4, 9720, 0, 12
2, 9721, 6, 1618
1, 9749, 101, 101
0, 9751, 406, 0
4, 9751, 0, 4
2, 9752, 4, 2342
1, 9780, 100, 104
0, 9782, 382, 0
4, 9782, 0, 4
2, 9782, 0, 3249
1, 9810, 100, 101
0, 9813, 351, 0
4, 9813, 0, 4
2, 9813, 14, 3292
1, 9841, 98, 102
0, 9844, 320, 0
4, 9844, 0, 0
2, 9844, 0, 1935
1, 9872, 99, 97
0, 9874, 293, 0
4, 9874, 0, 4
2, 9875, 1, 1994
1, 9903, 101, 101
0, 9905, 261, 0
4, 9905, 0, 4
2, 9905, 10, 1800
1, 9933, 92, 100
0, 9936, 231, 0
4, 9936, 0, 3
4, 9936, 0, 3
6, 10149, 0, 0
5, 10151, 0, 0
5, 10152, 0, 0
5, 10153, 0, 0
5, 10154, 0, 0
5, 10155, 0, 0
5, 10156, 0, 0
5, 10157, 0, 0
5, 10158, 0, 0
5, 10159, 0, 0
5, 10160, 0, 0
5, 10161, 0, 0
5, 10162, 0, 0
5, 10163, 0, 0
5, 10164, 0, 0
5, 10165, 0, 0
5, 10166, 0, 0
5, 10167, 0, 0
5, 10168, 0, 0
5, 10169, 0, 1
5, 10170, 0, 1
5, 10171, 0, 1
5, 10172, 0, 1
5, 10173, 0, 1
5, 10174, 0, 1
5, 10175, 0, 1
5, 10176, 0, 1
5, 10177, 0, 1
5, 10178, 0, 1
5, 10179, 0, 1
5, 10180, 0, 1
5, 10181, 0, 2
5, 10182, 0, 2
5, 10183, 0, 2
5, 10184, 0, 2
5, 10185, 0, 2
5, 10186, 0, 2
5, 10187, 0, 2
5, 10188, 0, 2
5, 10189, 0, 2
